FLG,日付,TM,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,計,安,失
ソフトバンク/オリックス,04/29,オリックス,1,2,3,0,0,0,0,0,,,,,6,9,0,
ロッテ/西武,04/29,ロッテ,3,0,1,0,0,0,0,0,2,,,,6,8,0,
ロッテ/西武,04/29,西武,0,0,0,0,0,0,0,3,0,,,,3,8,0,
楽天/日本ハム,04/29,楽天,0,0,0,0,0,0,2,0,0,,,,2,8,0,
楽天/日本ハム,04/29,日本ハム,0,0,1,0,1,0,0,0,1,,,,3,7,0,
巨人/ヤクルト,04/29,巨人,0,0,0,0,0,0,0,1,0,,,,1,8,0,
巨人/ヤクルト,04/29,ヤクルト,0,0,0,0,0,0,2,0,,,,,2,7,1,
広島/ＤｅＮＡ,04/29,広島,2,0,0,1,0,0,1,2,0,,,,6,11,0,
広島/ＤｅＮＡ,04/29,ＤｅＮＡ,0,0,0,0,0,0,0,1,0,,,,1,7,2,
中日/阪神,04/29,中日,2,1,0,0,0,0,0,0,3,,,,6,10,1,
中日/阪神,04/29,阪神,2,0,1,0,0,0,0,0,0,,,,3,8,3,
ソフトバンク/オリックス,04/30,ソフトバンク,0,0,0,0,0,0,1,0,1,,,,2,8,0,
ソフトバンク/オリックス,04/30,オリックス,0,1,0,0,0,0,0,0,0,,,,1,5,1,
ロッテ/西武,04/30,ロッテ,0,0,0,0,0,0,0,0,1,,,,1,3,0,
