自TM,相手TM,球場,日付,先,完投,完封,無四球,暴投,ボーク,基準,HA,ナ,回,攻撃,援護,分数,勝敗,名前,防御率,回数,打者,投球,安打,被本,三振,四死,失点,自責,T責除
ヤクルト,巨人,神宮,4/28,,0,0,0,0,0,54,0,1,9,1,0,1    ,,山本哲哉,0.00,1,4,8,1,0,0,0,0,0,
ヤクルト,巨人,神宮,4/29,1,0,0,0,0,0,56,0,1,8,7,2,7 2/3,○,小川泰弘,1.56,7.2,31,121,8,0,6,0,1,1,
ヤクルト,巨人,神宮,4/29,,0,0,0,1,0,56,0,1,8,0,0,0 1/3,H,石山泰稚,2.38,0.1,1,5,0,0,1,0,0,0,
ヤクルト,巨人,神宮,4/29,,0,0,0,0,0,56,0,1,8,1,0,1    ,S,秋吉亮,0.90,1,4,16,0,0,0,1,0,0,
ヤクルト,巨人,神宮,4/30,1,0,0,0,0,0,58,0,1,8,6,2,6    ,,星知弥,2.51,6,26,99,5,0,4,2,2,1,
ヤクルト,巨人,神宮,4/30,,0,0,0,0,0,58,0,1,8,1,0,1    ,○,ルーキ,4.50,1,4,11,1,0,1,0,0,0,
ヤクルト,巨人,神宮,4/30,,0,0,0,0,0,58,0,1,8,1,0,1    ,H,石山泰稚,2.19,1,4,15,1,0,0,0,0,0,
ヤクルト,巨人,神宮,4/30,,0,0,0,0,0,58,0,1,8,1,0,1    ,S,秋吉亮,0.82,1,4,19,1,0,2,0,0,0,
ヤクルト,阪神,神宮,5/2,1,0,0,0,0,0,60,0,1,8,7,2,7    ,○,ブキャナン,2.06,7,28,109,6,1,4,2,1,1,
ヤクルト,阪神,神宮,5/2,,0,0,0,0,0,60,0,1,8,1,0,1    ,H,石山泰稚,2.03,1,4,21,0,0,2,1,0,0,
ヤクルト,阪神,神宮,5/2,,0,0,0,0,0,60,0,1,8,1,0,1    ,S,秋吉亮,0.75,1,3,9,0,0,0,0,0,0,
ヤクルト,阪神,神宮,5/3,1,0,0,0,0,0,62,0,0,9,6,1,6    ,●,山中浩史,2.73,6,26,102,6,0,1,2,2,1,
ヤクルト,阪神,神宮,5/3,,0,0,0,0,0,62,0,0,9,1,0,1    ,,ルーキ,4.09,1,3,10,0,0,2,0,0,0,
ヤクルト,阪神,神宮,5/3,,0,0,0,0,0,62,0,0,9,1,0,1    ,,ギルメット,13.50,1,8,33,2,0,2,2,3,3,
